com.mayer.Playground -- Example log from Playground
com.mayer.NarcotrackStatistics -- No data received since 1min
com.mayer.NarcotrackStatistics -- No data received since 2min
com.mayer.NarcotrackStatistics -- No data received since 3min
com.mayer.NarcotrackStatistics -- No data received since 4min
com.mayer.NarcotrackStatistics -- No data received since 5min
com.mayer.NarcotrackStatistics -- No data received since 6min
com.mayer.NarcotrackStatistics -- No data received since 7min
com.mayer.NarcotrackStatistics -- No data received since 8min
com.mayer.NarcotrackStatistics -- No data received since 9min
com.mayer.NarcotrackStatistics -- No data received since 10min
com.mayer.NarcotrackStatistics -- No data received since 11min
com.mayer.NarcotrackStatistics -- No data received since 12min
com.mayer.NarcotrackStatistics -- No data received since 13min
com.mayer.NarcotrackStatistics -- No data received since 14min
com.mayer.NarcotrackStatistics -- No data received since 15min
com.mayer.NarcotrackStatistics -- No data received since 16min
com.mayer.NarcotrackStatistics -- No data received since 17min
com.mayer.NarcotrackStatistics -- No data received since 18min
com.mayer.NarcotrackStatistics -- No data received since 19min
com.mayer.NarcotrackStatistics -- No data received since 20min
com.mayer.NarcotrackStatistics -- No data received since 21min
com.mayer.NarcotrackStatistics -- No data received since 22min
com.mayer.NarcotrackStatistics -- No data received since 23min
com.mayer.NarcotrackStatistics -- No data received since 24min
com.mayer.NarcotrackStatistics -- No data received since 25min
com.mayer.NarcotrackStatistics -- No data received since 26min
com.mayer.NarcotrackStatistics -- No data received since 27min
